origen,id_vivo,catalog_key,depto,dept_key,name_es,name_en,rank,binding,hod_capable,grade,existence,is_hod_vivo,usos,conflicto
solo semilla,,grip.best_boy,Tramoya / Grip,grip,Best Boy Grip,Best Boy Grip,30,unit,0,key,core,,0,NUEVO desde semilla
solo semilla,,grip.crane_operator,Tramoya / Grip,grip,Operador de Grúa,Crane Operator,50,unit,0,operator,conditional,,0,NUEVO desde semilla
ambos,138,transport.coordinator,Transportación,transport,Coordinador de Transporte,Transportation Coordinator,10,unit,1,coordinator,core,1,1,
solo vivo,143,,Transportación,transport,Contador de Transporte,FALTA,20,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,139,transport.captain,Transportación,transport,Capitán de Transporte,Transportation Captain,30,unit,0,key,core,0,0,
ambos,140,transport.captain,Transportación,transport,Co Capitán de Transporte,Transportation Captain,30,unit,0,key,core,0,0,
ambos,141,transport.dispatcher,Transportación,transport,Dispatcher,Dispatcher,40,unit,0,operator,core,0,0,
solo vivo,142,,Transportación,transport,Asistente de Coord. de Transporte,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,144,,Transportación,transport,Asistente de Transportación,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,146,transport.driver,Transportación,transport,Chofer,Driver,60,unit,0,operator,core,0,8,
solo vivo,145,,Transportación,transport,Trainee de Transportación,FALTA,60,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,116,,Utilería,props,Jefe de Utilería,FALTA,10,unit,1,,core,1,1,PROPUESTO: rank/binding/name_en
solo vivo,124,,Utilería,props,Coordinador de Utilería,FALTA,30,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,122,,Utilería,props,Apoyo Eventual de Utilería,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,118,,Utilería,props,Asistente de Utilería,FALTA,50,unit,0,,core,0,3,PROPUESTO: rank/binding/name_en
solo vivo,119,,Utilería,props,Asistente de Utilería en Set,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,121,,Utilería,props,Bodeguero Props,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,120,,Utilería,props,Compras de Utilería en Set,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,117,,Utilería,props,Utilería en Set,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,63,,Vestuario,costume,Asst. Diseñador,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,73,,Vestuario,costume,Diseñador Gráfico de Vestuario,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,62,costume.costume_designer,Vestuario,costume,Diseñador de Vestuario,Costume Designer,10,production,1,manager,core,1,1,
solo vivo,71,,Vestuario,costume,Jefa de Taller de Costura,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,64,costume.supervisor,Vestuario,costume,Supervisor de Vestuario,Costume Supervisor,20,production,1,supervisor,core,0,0,HOD difiere
solo vivo,66,,Vestuario,costume,Asst. Coordinador de Vestuario,FALTA,30,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,65,costume.coordinator,Vestuario,costume,Coordinador de Vestuario,Costume Coordinator,30,production,1,coordinator,core,0,0,HOD difiere
ambos,68,costume.key_costumer,Vestuario,costume,Vestuarista,Key Costumer,40,unit,0,key,core,0,5,
ambos,69,costume.assistant,Vestuario,costume,Asistente de Vestuario,Costume Assistant,50,unit,0,assistant,core,0,0,
solo vivo,74,,Vestuario,costume,Asst. de Compras de Vestuario,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,67,costume.buyer,Vestuario,costume,Comprador de Vestuario,Costume Buyer,50,production,0,key,core,0,0,
ambos,72,costume.tailor,Vestuario,costume,Costurero,Tailor,60,production,0,operator,core,0,0,
solo semilla,,costume.ager_dyer,Vestuario,costume,Envejecedor,Ager/Dyer,60,production,0,operator,conditional,,0,NUEVO desde semilla
ambos,70,costume.tailor,Vestuario,costume,Jefa de Sastrería,Tailor,60,production,0,operator,core,0,0,
ambos,75,costume.tailor,Vestuario,costume,Sastre,Tailor,60,production,0,operator,core,0,0,
solo vivo,56,,"Video Assist, DIT y Data",,Asistente de Video,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,55,,"Video Assist, DIT y Data",,Operador de VTR,FALTA,50,unit,1,,core,1,0,PROPUESTO: rank/binding/name_en
